Id,Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Number_Of_Reviews,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,Image_Url,Host_id,Host_name,Host_location,Country,Country_code,Longitude,Latitude,Availability_365,Review_Scores
30540700,Yau Ma Tei Shared Flat (Y8a),Apartment,Private room,Real Bed,29,1125,flexible,1,1.0,1.0,0,228.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/176657b2-89a8-4d12-aef1-53f0e88fa467.jpg?aki_policy=large,97240131,Jov,"Hong Kong, Hong Kong",Hong Kong,HK,114.17037,22.31294,337,0.0
30548281,Bright Cosy Flat in Batalha | Ace Location,Apartment,Entire home/apt,Real Bed,2,120,strict_14_with_grace_period,5,2.0,4.0,4,39.0,0.0,39.0,6.0,4.0,https://a0.muscache.com/im/pictures/e4203f96-2c1a-4604-8880-cbc2a204cf85.jpg?aki_policy=large,12730028,Host Wise,Portugal,Portugal,PT,-8.60641,41.14529,307,100.0
30549426,Tranquilidade,Condominium,Entire home/apt,Real Bed,5,1125,flexible,5,1.0,2.0,0,250.0,0.0,90.0,0.0,2.0,https://a0.muscache.com/im/pictures/73546922-8ce8-468b-9fd7-edd3b917fdd6.jpg?aki_policy=large,164596151,Carmelo,BR,Brazil,BR,-43.185134822836375,-22.91427460134011,84,0.0
30551204,Outstanding place in Fenerbahçe,Apartment,Entire home/apt,Real Bed,1,1125,flexible,3,2.0,2.0,0,554.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/b683e048-9b89-4670-ae67-32d275f83045.jpg?aki_policy=large,229224213,Derya,GB,Turkey,TR,29.04677,40.9716,75,0.0
30561422,O MELHOR QUARTO E SALA DO LEBLON,Apartment,Entire home/apt,Real Bed,3,30,flexible,4,1.0,1.0,1,298.0,1000.0,150.0,100.0,4.0,https://a0.muscache.com/im/pictures/8f55d9ba-f1d5-41b7-a49c-5ae3226b07da.jpg?aki_policy=large,60473160,Valter,BR,Brazil,BR,-43.226299421988685,-22.98434608761522,360,100.0
30562498,Venha aproveitar a beleza das praia do Rio,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,1.0,0,119.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/dc6cb511-bb43-4006-8302-0128c2f17604.jpg?aki_policy=large,229293807,Philippe,BR,Brazil,BR,-43.47282451720555,-23.02797981428597,179,0.0
30573409,Whole apartment (City Center of Barcelona),Apartment,Entire home/apt,Real Bed,1,32,moderate,5,2.0,4.0,1,220.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/0745248b-0d8a-4b3c-ad9c-9e5e95193748.jpg?aki_policy=large,199972434,Enrique/Mathi,"Barcelona, Catalonia, Spain",Spain,ES,2.15288,41.37961,228,80.0
30576569,Göl kenarında müstakil ev konforu,House,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,74.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/7f759108-630b-4cd2-9802-6e3705ba6a61.jpg?aki_policy=large,45632945,Muhammet,"Edremit, Van, Turkey",Turkey,TR,28.74155,40.98273,364,0.0
30578696,Private room/shared bath 5min walk 2 waikiki beach,Apartment,Private room,Real Bed,3,60,strict_14_with_grace_period,2,1.0,1.0,8,69.0,0.0,29.0,0.0,2.0,https://a0.muscache.com/im/pictures/e1aec55f-43ec-4416-9ee0-2827b9121597.jpg?aki_policy=large,160611816,Nui,"Honolulu, Hawaii, United States",United States,US,-157.81814,21.2739,326,98.0
30588222,WYNDHAM VACATION RESORTS ROYAL GARDEN-Sleeps 4,Condominium,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,4,0.0,2.0,0,500.0,250.0,100.0,0.0,1.0,https://a0.muscache.com/im/pictures/2e1186a2-94d2-4d3e-9716-65329ef5b4b1.jpg?aki_policy=large,30099596,Theo & Kate,"Honolulu, Hawaii, United States",United States,US,-157.82938,21.28414,65,0.0
30589495,25#1 Walk 3 minutes to Metro Monk. Big  room.,House,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,5,25.0,200.0,20.0,0.0,1.0,https://a0.muscache.com/im/pictures/3ed0f431-a4bb-46a3-9075-78907fdde90a.jpg?aki_policy=large,149312976,Lei,"Montreal, Quebec, Canada",Canada,CA,-73.59726,45.45225,265,88.0
30606576,Spacious Bright and Airy Freshly Decorated Appt,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3,1.0,2.0,3,1853.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/0f53c724-4678-4aa3-8381-25b6e5bbc118.jpg?aki_policy=large,8789305,Lee,Hong Kong,Hong Kong,HK,114.15193,22.28226,82,100.0
30622150,İnfinity 1+1 Room İn Taksim İstanbul,Apartment,Entire home/apt,Real Bed,2,30,flexible,3,1.0,1.0,0,369.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/179904c3-5df1-442d-8001-43e047fde8f2.jpg?aki_policy=large,214078387,Nizamittin,"Istanbul, Istanbul, Turkey",Turkey,TR,28.98178,41.03749,151,0.0
30641024,Your Opo S. Bento 4B,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,5,2.0,4.0,3,92.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/3e44e11c-11b4-422b-bbdf-d70b01b31de2.jpg?aki_policy=large,16922131,YourOpo,Portugal,Portugal,PT,-8.62967,41.15816,349,100.0
306515,"HongKong,Central Bright Double Room",Apartment,Entire home/apt,Real Bed,30,30,moderate,2,1.0,1.0,20,1060.0,1764.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/3335548/00a8dd65_original.jpg?aki_policy=large,1576511,Frederic,HONGKONG - SEOUL,Hong Kong,HK,114.15448,22.28222,70,98.0
30658206,"Copa Ponto Nobre 200,00 CARNAVAl 450.00",Apartment,Entire home/apt,Real Bed,5,30,flexible,4,1.0,1.0,0,298.0,400.0,200.0,0.0,1.0,https://a0.muscache.com/im/pictures/a7f25c99-229f-4286-9111-c493c44624a7.jpg?aki_policy=large,4350101,Lucia,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,BR,-43.18625226121471,-22.97051095277177,349,0.0
30671405,hhhhhome,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,1,163.0,0.0,0.0,50.0,1.0,https://a0.muscache.com/im/pictures/e73b0609-609c-4881-946e-5c1d13c17d2f.jpg?aki_policy=large,229046402,Gamze,TR,Turkey,TR,28.85817,41.00201,89,80.0
30672896,Not a big room in Barcelona,Apartment,Private room,Real Bed,3,1125,flexible,2,1.0,1.0,0,35.0,0.0,0.0,100.0,2.0,https://a0.muscache.com/im/pictures/047ae4d5-c555-4bcb-9380-42746d1d267a.jpg?aki_policy=large,229590514,Tusia & Alex,ES,Spain,ES,2.18388,41.41132,83,0.0
30673003,Çelik apt.,Apartment,Entire home/apt,Real Bed,1,90,flexible,5,2.0,3.0,1,316.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/9d07cc4f-deec-4755-916f-c259304ce850.jpg?aki_policy=large,229591086,Marzieh,TR,Turkey,TR,28.98183,41.0482,50,0.0
